UDISE,features__attributes__latitude,features__attributes__longitude,School Name
3100302604,30.777497,75.242789,Gsss Dala
3170102602,30.139279,76.61577699999998,Gsss Binjal
3080209704,30.66789,76.29344,GSSS GOBINDGARH GIRL
3080503802,30.73242,76.344756,GSSS KHERI NAUDH SINGH
3070203302,30.939094,76.344707,GSSS DALLA
3150207101,29.771018,75.588137,Gss Reond Kalan
3150210001,29.862269,75.695071,Gss Bareta
3150400906,30.041978,75.43258,GSSS KHIALA KALAN GIRLS
3150401101,30.021571,75.34397,GSSS KHOKHAR KALAN
3150300501,29.879495,75.35269599999998,Gss Bhamme Kalan
3150403701,29.975099,75.317003,GSS MOOSA
3150303501,29.908306,75.257002,Gss Raipur
3140304003,30.070059,75.242271,Gsss Maur Kalan
3150303003,29.854295,75.23833399999998,"GOVT MODEL SENIOR
 SECONDARY SCHOOL MIAN"
3150403301,30.05537,75.35764899999998,Gss Bhaini Bagha
3150404101,30.115013,75.35662999999998,GSSS UBHA BURJ DHILWANS
3150504201,29.696977,75.237958,GSS BOYS SARDULGARH
3150505404,29.692476,75.236681,GSS GIRLS SARDULGARH
3150502501,29.80135,75.235732,GSS KUSLA
3150205001,29.906548,75.733287,GSS KISHANGARH
3150503001,29.714501,75.28475799999998,GSS MIRPUR KALAN
3161205803,30.12679,75.803145,Gsss (G) Sunam
3160605602,29.959523,75.751502,GSSS SANGATPURA
3150200801,29.958759,75.612261,GSS BACHHOANA
3150100901,30.062966,75.612245,GSSS BIR HODLA KALAN
3150200301,29.86815,75.424876,GSS AKKANWALI
3161200202,30.058003,75.73188299999998,GSSS CHOWAS JAKHEPAL.
3150208701,29.924037,75.554417,GSS GIRLS BUDHLADA
3150208501,29.930204,75.550149,GSS BOYS BUDHLADA
3161205902,30.075508,75.896797,GSSS CHATHA NANHERA
3161301802,29.992452,75.915808,GSSS KOHRIAN
3161209302,30.033984,75.905006,Gsss Chhahar
3160200502,29.767317,75.903498,GSSS RAMPURA GANAUTHA
3160204602,29.766519,75.911128,GSSS MANIANA
3150405401,29.986042,75.403333,Gss Girls Mansa
3160205602,29.819544,75.888318,GSSS MOONAK (GIRLS)
3150302301,29.807526,75.348864,Gss Jhunir
3150204301,29.83979,75.734435,GSSS KAHANGARH
3161304002,30.108284,75.935052,GSSS SULLAR GHARAT
3150206501,29.926332,75.605475,GSSS RALLI
3150202409,29.894594,75.650868,GOVT MODEL SENIOR SECONDARY SCHOOL DATEWAS
3160601602,29.992715,75.809685,GSSS GOBINDGAR KHOKHAR
3160601002,29.990229,75.713931,GSSS HARAYU
3160603102,29.937275,75.81151599999998,GSSS LEHRAGAGA (GIRLS)
3150104401,30.057218,75.53355899999998,GSSS GIRLS BHIKHI
3150202401,29.904788,75.61623299999998,GSS DATEWAS
3161202502,30.077761,75.807163,GSSS NILOWAL
3150203901,30.037669,75.62476499999998,GSS HIRON KHURD
3150402401,30.026213,75.480709,GSS DALEL SINGH WALA
