"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilname","esriFieldTypeString","Village","50","934322","30.661854999999999","76.205437000000003","3","30","147301","03080208901","GPS SALANA B.D.S.W","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032864","PUNJAB","Fatehgarh Sahib","Salana Jiwan Singh Wala (11)","Department of Education","Rural","03","887851","-375617",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","management","esriFieldTypeString","Management","50","935006","30.693974999999998","76.206558000000001","3","36","141401","03090411002","GPS KHANNA KHURD","1","1","3","2","Primary","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Department of Education","Urban","03","887864","-376052",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","935452","30.714172000000001","76.206173000000007","3","36","141401","03090401401","GPS BHATTIAN","1","1","3","2","Primary","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Department of Education","Urban","03","887859","-376325",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","932529","30.564674","76.063713000000007","3","737","148022","03160710001","GPS JABBO MAJRA","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039491","PUNJAB","Malerkotla","Jabo Majra (131)","Department of Education","Rural","03","886199","-374301",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932792","30.580107999999999","76.062837999999999","3","737","148022","03160710002","GSSS JABBO MAJRA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","797","00269","Malerkotla","269","039491","PUNJAB","Malerkotla","Jabo Majra (131)","Department of Education","Rural","03","886189","-374510",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933416","30.612242999999999","76.069648999999998","3","36","141415","03090404402","GPS JARG G","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033257","PUNJAB","Ludhiana","Jarg  (186)","Department of Education","Rural","03","886268","-374945",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933437","30.613243000000001","76.068648999999994","3","36","141415","03090404401","GPS JARG B","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033257","PUNJAB","Ludhiana","Jarg  (186)","Department of Education","Rural","03","886257","-374958",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933780","30.633614000000001","76.072954999999993","3","36","141414","03090404301","GPS JALAJAN","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033244","PUNJAB","Ludhiana","Jalajan (267)","Department of Education","Rural","03","886307","-375234",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934520","30.671524000000002","76.064988999999997","3","36","141414","03090400402","GMS ALOONA TOLA","1","4","3","1","Upper Primary only","Co-education","03","041","00226","Payal","226","033262","PUNJAB","Ludhiana","Aluna Tolla (256)","Department of Education","Rural","03","886214","-375748",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936236","30.751875999999999","76.072642999999999","3","36","141416","03090200303","ANAND ISHER PUBLIC SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00226","Payal","226","033336","PUNJAB","Ludhiana","Barmalipur (237)","Pvt. Unaided (Recognized)","Rural","03","886303","-376836",""
