"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schcat","fieldAliases__school_cat","fieldAliases__schtype","fieldAliases__school_typ","fieldAliases__schmgt","fieldAliases__management","fieldAliases__rururb","fieldAliases__location","fieldAliases__pincode","fieldAliases__dtname","fieldAliases__udise_stco","fieldAliases__stname","fieldAliases__vilname","fieldAliases__longitude","fieldAliases__latitude","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__schcd","features__attributes__schname","features__attributes__schcat","features__attributes__school_cat","features__attributes__schtype","features__attributes__school_typ","features__attributes__schmgt","features__attributes__management","features__attributes__rururb","features__attributes__location","features__attributes__pincode","features__attributes__dtname","features__attributes__udise_stco","features__attributes__stname","features__attributes__vilname","features__attributes__longitude","features__attributes__latitude","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__geometry__x","features__geometry__y"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","1422374","3090801603","BANGALORE NATIONAL PUBLIC SCHOOL","1","Primary","3","Co-Ed","5","Private Unaided (recognized)","1"," ","141107","Ludhiana","03","PUNJAB"," ","75.679230000000004","30.7026","03","041","00229","Raikot","110215","-47021"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","1422613","3090802701","GPS KAILEY","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141107","Ludhiana","03","PUNJAB"," ","75.676676999999998","30.710781999999998","03","041","00229","Raikot","110211","-47035"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","1418000","3200203102","GMS PANDORI","4","Upper Primary Only","3","Co-Ed","1","Department of Education","1"," ","148104","Barnala","03","PUNJAB"," ","75.614237000000003","30.547270000000001","03","054","00275","Barnala","110120","-46758"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilname","esriFieldTypeString","Village","50","1418001","3200203101","GPS PANDORI","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148104","Barnala","03","PUNJAB"," ","75.613974999999996","30.547331","03","054","00275","Barnala","110120","-46758"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","1419472","3090904101","GPS Shehbazpura","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141109","Ludhiana","03","PUNJAB"," ","75.616131999999993","30.599757","03","041","00229","Raikot","110123","-46847"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","1419532","3090904102","GSSS SHEHBAZPUR","5","Higher Secondary  (6-12)","3","Co-Ed","1","Department of Education","1"," ","141109","Ludhiana","03","PUNJAB"," ","75.616900999999999","30.602162","03","041","00229","Raikot","110124","-46851"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","1415228","3200102305","SHAHEED BHAGAT SINGH PUBLIC SCHOOL HAMIDI","6","Secondary (1-10)","3","Co-Ed","5","Private Unaided (recognized)","1"," ","148025","Barnala","03","PUNJAB"," ","75.628202000000002","30.457678999999999","03","054","00275","Barnala","110141","-46607"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","1418930","3200202401","GPS KUTBA","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148104","Barnala","03","PUNJAB"," ","75.625362999999993","30.580856000000001","03","054","00275","Barnala","110137","-46815"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","1418939","3200202402","GHS KUTBA","7","Secondary (6-10)","3","Co-Ed","1","Department of Education","1"," ","148104","Barnala","03","PUNJAB"," ","75.625252000000003","30.581233000000001","03","054","00275","Barnala","110136","-46816"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","1415609","3161104401","GPS RURGARH","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148025","Sangrur","03","PUNJAB"," ","75.772169000000005","30.470800000000001","03","053","00270","Dhuri","110350","-46629"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416333","3161102702","GMS ISSAPUR","4","Upper Primary Only","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.772289999999998","30.490919999999999","03","053","00270","Dhuri","110350","-46663"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1419305","3160102501","GPS JHUNER","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148020","Sangrur","03","PUNJAB"," ","75.772582","30.593519000000001","03","053","00269","Malerkotla","110351","-46836"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1420526","3090801105","GURU GOBIND SINGH KHALSA PUBLIC SCHOOL MAHERNA KALAN","2","Upper Primary","3","Co-Ed","5","Private Unaided (recognized)","1"," ","141204","Ludhiana","03","PUNJAB"," ","75.771793000000002","30.639517999999999","03","041","00229","Raikot","110350","-46914"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1421024","3160100902","GMS RASULPUR","4","Upper Primary Only","3","Co-Ed","1","Department of Education","1"," ","148021","Ludhiana","03","PUNJAB"," ","75.772767999999999","30.658193000000001","03","041","00229","Raikot","110351","-46946"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1421270","3160100901","GPS RASULPUR","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148021","Sangrur","03","PUNJAB"," ","75.774359000000004","30.666636","03","053","00269","Malerkotla","110354","-46960"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1422212","3090804502","GHS RANGOOWAL","7","Secondary (6-10)","3","Co-Ed","1","Department of Education","1"," ","141205","Ludhiana","03","PUNJAB"," ","75.772565","30.697088999999998","03","041","00229","Raikot","110351","-47012"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1422410","3090802601","GPS JURAHAN","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141205","Ludhiana","03","PUNJAB"," ","75.772661999999997","30.703668","03","041","00229","Raikot","110351","-47023"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1422751","3090802802","GSSS KALAKH","5","Higher Secondary  (6-12)","3","Co-Ed","1","Department of Education","1"," ","141204","Ludhiana","03","PUNJAB"," ","75.784892999999997","30.715626","03","041","00227","Ludhiana (East)","110369","-47043"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1422798","3090802801","GPS KALAKH","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141204","Ludhiana","03","PUNJAB"," ","75.784334999999999","30.716804","03","041","00227","Ludhiana (East)","110368","-47045"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1423688","3090803201","GPS LOHGARH","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141203","Ludhiana","03","PUNJAB"," ","75.779014000000004","30.747568999999999","03","041","00228","Ludhiana (West)","110360","-47097"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1423730","3090803402","KHALSA HIGH SCHOOL","5","Higher Secondary  (6-12)","3","Co-Ed","4","Government Aided","1"," ","141203","Ludhiana","03","PUNJAB"," ","75.786438000000004","30.749082999999999","03","041","00227","Ludhiana (East)","110371","-47100"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1420576","3090803301","GPS MAHERNA KALAN","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141205","Ludhiana","03","PUNJAB"," ","75.770656000000002","30.641953000000001","03","041","00229","Raikot","110348","-46918"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1420582","3090803302","GSSS MAHERNA KALAN","5","Higher Secondary  (6-12)","3","Co-Ed","1","Department of Education","1"," ","141205","Ludhiana","03","PUNJAB"," ","75.770923999999994","30.642208","03","041","00229","Raikot","110349","-46919"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1422199","3090804501","GPS RANGOOWAL","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141205","Ludhiana","03","PUNJAB"," ","75.771315999999999","30.696518999999999","03","041","00229","Raikot","110349","-47011"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1415220","3160706001","GPS RUSTAMGARH","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.901634000000001","30.457386","03","053","00269","Malerkotla","110539","-46606"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1415529","3160701201","GPS BHAINI KALAN","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.904503000000005","30.468344999999999","03","053","00269","Malerkotla","110543","-46625"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1417664","3160704601","GPS RAJINDER NAGAR","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.900069999999999","30.535488999999998","03","053","00269","Malerkotla","110537","-46738"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1420528","3090105205","THE BRITISH WORLD SCHOOL","6","Secondary (1-10)","3","Co-Ed","5","Private Unaided (recognized)","1"," ","141119","Ludhiana","03","PUNJAB"," ","75.902952999999997","30.639589999999998","03","041","00226","Payal","110541","-46914"
