"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","919770","30.126912999999998","75.811391999999998","3","43","148028","03161209402","RAMAN PUBLIC SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110407","-46049"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","912364","29.913146000000001","75.861041999999998","3","43","148031","03160604702","GSSS BHUTAL KALAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","053","00273","Lehra","273","039912","PUNJAB","Sangrur","Bhutal Kalan (61)","Department of Education","Rural","03","110480","-45689"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","913221","29.934082","75.861146000000005","3","43","148031","03160601701","GPS KHANDEBAD","1","1","3","1","Primary","Co-education","03","053","00273","Lehra","273","039904","PUNJAB","Sangrur","Khandebad (62)","Department of Education","Rural","03","110480","-45724"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919701","30.124331000000002","75.791899000000001","3","43","148028","03161207609","ACADIA WORLD SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110379","-46045"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919954","30.131882000000001","75.792717999999994","3","43","148028","03161205101","GPS S.U.S SUNAM","1","1","3","2","Primary","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Department of Education","Urban","03","110380","-46057"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920182","30.138923999999999","75.793818000000002","3","43","148028","03161207601","GPS GUJHA PIR SUNAM","1","1","3","2","Primary","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Department of Education","Urban","03","110382","-46069"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920360","30.144214999999999","75.792210999999995","3","43","148028","03161207608","PARADISE PUBLIC HIGH SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110380","-46078"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910146","29.846218","75.847481999999999","3","43","148033","03160603601","GPS BALRAN","1","1","3","1","Primary","Co-education","03","053","00274","Moonak","274","039930","PUNJAB","Sangrur","Balran (82)","Department of Education","Rural","03","110460","-45577"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","918864","30.096882000000001","75.847669999999994","3","43","148028","03161208301","GPS KOTHE KHADIAL","1","1","3","1","Primary","Co-education","03","053","00272","Sunam","272","039847","PUNJAB","Sangrur","Khadial (1)","Department of Education","Rural","03","110460","-45998"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","916593","30.014303999999999","75.863523000000001","3","43","148030","03161201501","GPS SANGATIWALA","1","1","3","1","Primary","Co-education","03","053","00273","Lehra","273","039877","PUNJAB","Sangrur","Sangatiwala (35)","Department of Education","Rural","03","110483","-45859"
