"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilname","esriFieldTypeString","Village","50","907638","29.773622","75.589400999999995","3","37","151503","03150207102","GPS REOND KALAN","1","1","3","1","Primary","Co-education","03","047","00248","Budhlada","248","036002","PUNJAB","Mansa","Reond Kalan (152)","Department of Education","Rural","03","55042","-22728",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","management","esriFieldTypeString","Management","50","910438","29.854854","75.693526000000006","3","37","151501","03150211101","GMS BARETA VILL","1","4","3","2","Upper Primary only","Co-education","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Department of Education","Urban","03","55118","-22796",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","910653","29.861854999999998","75.693984999999998","3","37","151501","03150210101","ATMA RAM MEM CONVENT SCH BARETA","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55118","-22802",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","910658","29.861978000000001","75.694028000000003","3","37","151501","03150210002","GPS BARETA","1","1","3","2","Primary","Co-education","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Department of Education","Urban","03","55118","-22802",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910666","29.862269000000001","75.695070999999999","3","37","151501","03150210001","GSS BARETA","1","5","3","2","Up. Pr. Secondary and Higher Sec","Co-education","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Department of Education","Urban","03","55119","-22802",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","917223","30.037794000000002","75.694242000000003","3","43","148028","03161202401","GPS RATTANGARH","1","1","3","1","Primary","Co-education","03","053","00272","Sunam","272","039866","PUNJAB","Sangrur","Rattangarh Alias Pattianwali (20)","Department of Education","Rural","03","55118","-22949",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910566","29.858442","75.695316000000005","3","37","151501","03150211102","GPS BARETA VILL","1","1","3","2","Primary","Co-education","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Department of Education","Urban","03","55119","-22799",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910641","29.861146999999999","75.695392999999996","3","37","151501","03150210501","GURU NANAK PUBLIC SCHOOL BARETA","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55119","-22801",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911070","29.873560999999999","75.695853999999997","3","37","151501","03150209804","GREENLAND DAY BOARDING PUB SCHOOL BARETA","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55120","-22811",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","909503","29.827881000000001","75.697719000000006","3","37","151501","03150204201","GPS BRANCH JUGLAN","1","1","3","1","Primary","Co-education","03","047","00248","Budhlada","248","036013","PUNJAB","Mansa","Juglan (177)","Department of Education","Rural","03","55121","-22773",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","901643","29.579916999999998","75.432450000000003","6","61","125050","06100107402","GMS DHANI DHAKA","1","4","3","1","Upper Primary only","Co-education","06","078","00388","Fatehabad","388","060466","HARYANA","Fatehabad","Hijrawan Kalan(41)","Department of Education","Rural","06","54928","-22565",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","901644","29.579916999999998","75.433283000000003","6","61","125050","06100107401","GMSPS DHANI DHAKA","1","1","3","1","Primary","Co-education","06","078","00388","Fatehabad","388","060466","HARYANA","Fatehabad","Hijrawan Kalan(41)","Department of Education","Rural","06","54928","-22565",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","902174","29.595632999999999","75.433482999999995","6","61","125050","06100107002","GHS AHLI NOORKI MAJRA","1","7","3","1","Upper Pr. and Secondary","Co-education","06","078","00388","Fatehabad","388","060467","HARYANA","Fatehabad","Chankothi(115)","Department of Education","Rural","06","54929","-22578",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","902175","29.595632999999999","75.433482999999995","6","61","125050","06100107003","GPS AHLI NOORKI MAJRA","1","1","3","1","Primary","Co-education","06","078","00388","Fatehabad","388","060467","HARYANA","Fatehabad","Chankothi(115)","Department of Education","Rural","06","54929","-22578",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","913830","29.949283000000001","75.434189000000003","3","37","151505","03150403203","BHS SEC SCHOOL BARNALA","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","047","00249","Mansa","249","036095","PUNJAB","Mansa","Barnala (116)","Pvt. Unaided (Recognized)","Rural","03","54929","-22875",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","913944","29.952870999999998","75.433995999999993","3","37","151505","03150403201","SHAHEED GURMAIL SINGH GMS BARNALA","1","7","3","1","Upper Pr. and Secondary","Co-education","03","047","00249","Mansa","249","036095","PUNJAB","Mansa","Barnala (116)","Department of Education","Rural","03","54929","-22878",""
