"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","management","esriFieldTypeString","Management","50","938187","30.863396999999999","75.765855000000002","3","36","142021","03090502701","GPS JHANDE","1","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033603","PUNJAB","Ludhiana","Jhanda (293)","Department of Education","Rural","03","882729","-378349"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","938201","30.863793999999999","75.765871000000004","3","36","142021","03090502702","GMS JHANDE","1","4","3","1","Upper Primary only","Co-education","03","041","00228","Ludhiana (West)","228","033603","PUNJAB","Ludhiana","Jhanda (293)","Department of Education","Rural","03","882729","-378355"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","939418","30.922438","75.763766000000004","3","36","142027","03090509322","SHIVALIKWALA DOON SCHOOL","5","10","3","1","Secondary with Higher Secondary","Co-education","03","041","00228","Ludhiana (West)","228","033646","PUNJAB","Ludhiana","Talwara (149)","Pvt. Unaided (Recognized)","Rural","03","882705","-379151"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940038","30.951066000000001","75.764465000000001","3","36","141008","03090600501","GPS BAGGA KHURD","1","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033642","PUNJAB","Ludhiana","Bagga Khurd (111)","Department of Education","Rural","03","882713","-379540"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","939505","30.925764999999998","75.782095999999996","3","36","141008","03090611901","GPS PARTAP SINGH WALA","1","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033678","PUNJAB","Ludhiana","Partap Singhwala (CT)","Department of Education","Rural","03","882918","-379196"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938370","30.870065","75.790313999999995","3","36","142028","03090505706","BLUE BELLS PUBLIC SCHOOL","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00228","Ludhiana (West)","228","033676","PUNJAB","Ludhiana","Tharike (CT)","Pvt. Unaided (Recognized)","Rural","03","883014","-378440"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938464","30.875515","75.790094999999994","3","36","142028","03090505708","shiffaly international academy","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00228","Ludhiana (West)","228","033676","PUNJAB","Ludhiana","Tharike (CT)","Pvt. Unaided (Recognized)","Rural","03","883011","-378514"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938600","30.883742000000002","75.788323000000005","3","36","141012","03090509204","GHS HOUSING BOARD COLNY","1","7","3","2","Upper Pr. and Secondary","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Department of Education","Urban","03","882991","-378625"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938636","30.886057000000001","75.791128999999998","3","36","141012","03090509116","Sacred Heart Sr.Sec.School, BRS Nagar","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","883023","-378657"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938722","30.890090000000001","75.793886000000001","3","36","141012","03090509218","TAGORE PUBLIC SCHOOL, AGGAR NAGAR","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","883056","-378712"
