"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927242","30.360738000000001","75.887585999999999","3","43","148024","03164100205","KINGSVIEW INTERNATIONAL SCHOOL","5","2","3","2","Primary with Upper Primary","Co-education","03","053","00270","Dhuri","270","039657","PUNJAB","Sangrur","Dhura (97)","Pvt. Unaided (Recognized)","Urban","03","55259","-23222",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928435","30.394741","75.886662999999999","3","43","148024","03160500401","GPS BARDWAL","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039655","PUNJAB","Sangrur","Bararwal (92)","Department of Education","Rural","03","55259","-23250",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930240","30.465274000000001","75.887259999999998","3","737","148023","03160705601","GPS SANGALA","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039555","PUNJAB","Malerkotla","Sakohpur Sangram (94)","Department of Education","Rural","03","55259","-23310",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931007","30.495221999999998","75.887979999999999","3","737","148028","03160706103","SARVHITKARI VIDYA MANDIR","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","797","00269","Malerkotla","269","039553","PUNJAB","Malerkotla","Ratolan (92)","Pvt. Unaided (Recognized)","Rural","03","55259","-23335",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931008","30.495260999999999","75.887332999999998","3","737","148023","03160706101","GPS RATOLAN","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039553","PUNJAB","Malerkotla","Ratolan (92)","Department of Education","Rural","03","55259","-23335",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931168","30.501899999999999","75.886700000000005","3","737","148023","03160706104","DEEPAK MONTESSORI SCHOOL","5","2","3","1","Primary with Upper Primary","Co-education","03","797","00269","Malerkotla","269","800270","PUNJAB","Malerkotla","Malerkotla (M Cl)","Pvt. Unaided (Recognized)","Rural","03","55259","-23341",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931949","30.53558","75.886570000000006","3","737","148023","03160702311","MALERKOTLA PLAY SCHOOL","5","1","3","2","Primary","Co-education","03","797","00269","Malerkotla","269","800270","PUNJAB","Malerkotla","Malerkotla (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55258","-23369",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934118","30.650804999999998","75.886639000000002","3","737","148020","03160101601","GPS UMARPURA","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039405","PUNJAB","Malerkotla","Umarpura (21)","Department of Education","Rural","03","55259","-23467",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920657","30.154962999999999","75.898216000000005","3","43","148002","03161302605","GIANDEEP PUBLIC SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","039804","PUNJAB","Sangrur","Mehlan (54)","Pvt. Unaided (Recognized)","Rural","03","55267","-23048",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924136","30.279868","75.897902000000002","3","43","148002","03160904406","BABA SHAHEED SINGH PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00271","Sangrur","271","039740","PUNJAB","Sangrur","Balian (28)","Pvt. Unaided (Recognized)","Rural","03","55267","-23153",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","923344","30.254251","75.872579999999999","3","43","148002","03160904711","GEN. GURNAM SINGH PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00271","Sangrur","271","039764","PUNJAB","Sangrur","Mangwal (35)","Pvt. Unaided (Recognized)","Rural","03","55248","-23132",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924185","30.281383999999999","75.873452","3","43","148001","03160904801","GPS NANAKPURA","1","1","3","1","Primary","Co-education","03","053","00271","Sangrur","271","","PUNJAB","Sangrur"," ","Department of Education","Rural","03","55249","-23155",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927611","30.372523999999999","75.872765000000001","3","43","148024","03160504401","GPS LACHMI BAGH DHURI","1","1","3","2","Primary","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Department of Education","Urban","03","55248","-23231",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927885","30.378648999999999","75.872688999999994","3","43","148024","03160501602","Y.C.ARYA MODEL SCHOOL","5","2","3","2","Primary with Upper Primary","Co-education","03","053","00270","Dhuri","270","039655","PUNJAB","Sangrur","Bararwal (92)","Pvt. Unaided (Recognized)","Urban","03","55248","-23237",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928715","30.404599999999999","75.872600000000006","3","43","148024","03160500407","Desh Bhagat Collegiate Senior Secondary School Bardwal Dhuri","5","11","3","1","Higher Secondary only/Jr. College","Co-education","03","053","00270","Dhuri","270","039655","PUNJAB","Sangrur","Bararwal (92)","Pvt. Unaided (Recognized)","Rural","03","55248","-23259",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","929126","30.419211000000001","75.874151999999995","3","43","148024","03160500601","GPS BABANPUR","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039635","PUNJAB","Sangrur","Babanpur (71)","Department of Education","Rural","03","55249","-23271",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930160","30.461158999999999","75.872496999999996","3","737","148023","03160707001","GPS MOHAMMADGARH","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039556","PUNJAB","Malerkotla","Mohamadgarh (87)","Department of Education","Rural","03","55248","-23306",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931665","30.522929000000001","75.874052000000006","3","737","148023","03160703906","GPS RAILWAY LINE RAVIDASS NAGAR MALERKOTLA","1","1","3","2","Primary","Co-education","03","797","00269","Malerkotla","269","800270","PUNJAB","Malerkotla","Malerkotla (M Cl)","Department of Education","Urban","03","55249","-23359",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931846","30.530662","75.874477999999996","3","737","148023","03160707702","GMS QILA REHMATGARH","1","4","3","2","Upper Primary only","Co-education","03","797","00269","Malerkotla","269","800270","PUNJAB","Malerkotla","Malerkotla (M Cl)","Department of Education","Urban","03","55250","-23365",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931861","30.531441999999998","75.874263999999997","3","737","148023","03160707803","ALMIGHTY PUBLIC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","797","00269","Malerkotla","269","800270","PUNJAB","Malerkotla","Malerkotla (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55250","-23366",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931894","30.533473000000001","75.873266999999998","3","737","148023","03160704405","MUSLIM SEN.SEC.SCHOOL MOHALLA BHUMSI","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","797","00269","Malerkotla","269","800270","PUNJAB","Malerkotla","Malerkotla (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55249","-23367",""
