"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","939526","30.926579","76.211793999999998","3","36","141115","03090702601","GPS Gari Bet","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033050","PUNJAB","Ludhiana","Garhi Bet (60)","Department of Education","Rural","03","55495","-23700",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940019","30.950085000000001","76.211895999999996","3","36","141115","03090707101","GPS Mithewal","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033049","PUNJAB","Ludhiana","Mithewal (58)","Department of Education","Rural","03","55495","-23720",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","942587","31.187926000000001","76.212190000000007","3","40","144524","03060505602","GMS SAHUNGRA","1","4","3","1","Upper Primary only","Co-education","03","038","00217","Garhshankar","217","032040","PUNJAB","Hoshiarpur","Kukar Majara (248)","Department of Education","Rural","03","55496","-23923",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","942843","31.214331999999999","76.212368999999995","3","33","144527","03050312602","GMS KUNAIL","1","4","3","1","Upper Primary only","Co-education","03","038","00217","Garhshankar","217","032032","PUNJAB","Hoshiarpur","Kunail (364)","Department of Education","Rural","03","55496","-23945",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1424060","31.326388999999999","76.211667000000006","2","26","176601","02070102802","GMS BHADIARA","1","4","3","1","Upper Primary only","Co-education","02","029","00151","Haroli","151","null","HIMACHAL PRADESH","Una","null","Department of Education","Rural","02","55495","-24041",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937036","30.801137000000001","76.593525","3","608","140103","03180308001","GPS PADIALA","1","1","3","2","Primary","Co-education","03","052","00266","Kharar","266","","PUNJAB","Sahibzada Ajit Singh Nag*"," ","Department of Education","Urban","03","55773","-23594",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937372","30.818377999999999","76.592967999999999","3","608","140103","03180312305","SUNFIELD INTERNATIONAL SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","052","00266","Kharar","266","800262","PUNJAB","Sahibzada Ajit Singh Nag*","Kurali (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55773","-23609",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938470","30.87576","76.593777000000003","3","42","140103","03070711501","GPS KISHANPURA","1","1","3","1","Primary","Co-education","03","051","00264","Rup Nagar","264","038753","PUNJAB","Rupnagar","Kishanpura (207)","Department of Education","Rural","03","55773","-23657",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938474","30.875895","76.593722","3","42","140103","03070711502","GSSS KISHANPURA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","051","00264","Rup Nagar","264","038753","PUNJAB","Rupnagar","Kishanpura (207)","Department of Education","Rural","03","55773","-23657",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940528","31.002313000000001","76.593908999999996","3","42","140113","03070706601","GPS DANGAULI","1","1","3","1","Primary","Co-education","03","051","00264","Rup Nagar","264","038651","PUNJAB","Rupnagar","Dangauli (344)","Department of Education","Rural","03","55774","-23765",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941122","31.060085000000001","76.592903000000007","3","42","140113","03070714403","PARIVAR VICHORA PUBLIC SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","051","00264","Rup Nagar","264","038604","PUNJAB","Rupnagar","Naggal (335)","Pvt. Unaided (Recognized)","Rural","03","55773","-23814",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943084","31.231138000000001","76.592635999999999","3","42","140116","03070100701","GPS BALOLI","1","1","3","1","Primary","Co-education","03","051","00262","Anandpur Sahib","262","038410","PUNJAB","Rupnagar","Balauli (330)","Department of Education","Rural","03","55773","-23959",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","939006","30.903563999999999","76.467140000000001","3","42","140112","03070704002","GSSS BHAKU MAJRA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","051","00265","Chamkaur Sahib","265","038852","PUNJAB","Rupnagar","Bhaku Majra (160)","Department of Education","Rural","03","55681","-23681",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","939007","30.903600000000001","76.467129","3","42","140112","03070704001","GPS BHAKU MAJRA","1","1","3","1","Primary","Co-education","03","051","00265","Chamkaur Sahib","265","038852","PUNJAB","Rupnagar","Bhaku Majra (160)","Department of Education","Rural","03","55681","-23681",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","939128","30.910250000000001","76.466615000000004","3","42","140001","03070711302","GSSS KHERI SALABATPUR","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","051","00265","Chamkaur Sahib","265","038851","PUNJAB","Rupnagar","Kheri Salabatpur (66)","Department of Education","Rural","03","55681","-23687",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940482","30.995977","76.466162999999995","3","40","144533","03060209703","ADARSH SARASWATI MODEL SCHOOL RAIL MAJRA","5","2","3","1","Primary with Upper Primary","Co-education","03","039","00219","Balachaur","219","032529","PUNJAB","Shahid Bhagat Singh Nagar","Rail (CT)","Pvt. Unaided (Recognized)","Rural","03","55681","-23759",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940486","30.996455000000001","76.466956999999994","3","40","144533","03060209702","GSSS RAIL MAJRA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","039","00219","Balachaur","219","032529","PUNJAB","Shahid Bhagat Singh Nagar","Rail (CT)","Department of Education","Rural","03","55681","-23760",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941976","31.135242999999999","76.465701999999993","3","42","140117","03070605302","GSSS KANGAR","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","051","00262","Anandpur Sahib","262","038477","PUNJAB","Rupnagar","Kangar (506)","Department of Education","Rural","03","55680","-23878",""
